地名,規範碼,long,lat,朝代,行政區
陽山,PL000000009963,120.43325,31.411093,沒有給定朝代,
白馬寺,PL000000008691,118.778,32.0514,沒有給定朝代,
吳郡,PL000000009934,120.6276,31.3114,東晉,東晉_揚州
南峰寺,PL000000010034,120.495842,31.299784,,
吳興郡,PL000000012994,120.1082,30.8636,東晉,東晉_揚州
靈嘉寺,PL000000013174,120.587,30.0031,,
石城山,PL000000013338,120.888096,29.487949,,
棲光寺,PL000000013325,120.888096,29.487949,,
山陰,PL000000013245,120.5871,30.0031,東晉,東晉_揚州
泰山,PL000000021580,117.102589,36.256947,慣用名,
征虜亭,PL000000008603,118.8399,31.9528,,
餘姚,PL000000012433,121.1616,30.0477,西晉,西晉_揚州
高陽,PL000000002264,115.9078,38.6763,西晉,西晉_冀州
剡縣,PL000000013484,120.8241,29.5861,西晉,西晉_揚州
東越,PL000000008353,119.790654,27.306212,明,
元華寺,PL000000013326,120.888,29.4879,,
交州,PL000000055181,106.0907,21.1236,西晉,西晉_交州
象林,PL000000055375,107.569,16.4999,西晉,西晉_交州
靈鷲寺,PL000000013327,120.586798,29.547143,,
廬江郡,PL000000016452,116.9474,31.4554,東晉,東晉_揚州
高平郡,PL000000022917,116.0681,35.1255,前秦,前秦
嶽麓山,PL000000028721,112.927706,28.187806,沒有給定朝代,
湘州,PL000000028642,112.9867,28.1973,南齊,南朝齊_湘州
葛峴山,PL000000013447,120.824,29.5861,,
魯國,PL000000021516,116.9966,35.5976,西晉,西晉_豫州
始寧,PL000000013485,120.8322,29.7893,西晉,西晉_揚州
保山,PL000000013322,120.832,29.7893,,
新亭崗,PL000000008869,118.714569,31.999795,,
東莞郡,PL000000021968,118.7466,36.0167,西晉,西晉_徐州
河內郡,PL000000024685,112.9462,35.0886,前秦,前秦
扶柳,PL000000003662,115.4113,37.6243,西晉,西晉_冀州
鄴縣,PL000000001482,114.3892,36.2752,北魏,北朝魏_相州
中寺,PL000000001459,114.389,36.2752,,
濩澤,PL000000004428,112.2722,35.5008,西晉,西晉_司州
大陽,PL000000005135,111.1732,34.8246,西晉,西晉_司州
并州,PL000000003798,112.5002,37.741,西晉,西晉_并州
飛龍山,PL000000001139,114.231,37.9275,,
恆山,PL000000000223,113.725884,39.671704,慣用名,
河北,PL000000005162,110.6326,34.6998,西晉,西晉_司州
武邑,PL000000003497,115.9003,37.8052,西晉,西晉_冀州
冀州,PL000000003663,115.5734,37.5652,西晉,西晉_冀州
受都寺,PL000000003710,115.5734,37.5652,,
華林園,PL000000057090,114.614139,36.335571,,
牽口山,PL000000003705,114.491,36.917,,
